New Trolley Inventory,Variance Rank by Destination,Variance,Average Price per Product,Date,Product,First name,Last Name,Email,Price,Destination
True,1,42.807500000000005,16.5025,2021-10-25,Chicken Thigh,Izaak,Pasmore,ipasmore1w@ehow.com,$59.31,New York
True,1,40.292,17.968,2021-09-10,Beef Ground Medium,Putnam,Fontin,pfontinjb@salon.com,$58.26,London
True,2,38.3562,19.9738,2021-07-15,Cake,Dione,Morales,dmorales5m@posterous.com,$58.33,London
True,1,38.32666666666667,21.093333333333334,2021-10-18,Chevril,Luther,Maiklem,lmaiklem6t@nature.com,$59.42,Perth
True,3,38.10272727272728,21.537272727272725,2021-08-17,Spinach,Magnum,Ainslee,mainsleeaz@springer.com,$59.64,London
True,4,38.06142857142857,16.74857142857143,2021-08-26,Macaroons,Janeva,Loxston,jloxston4s@hubpages.com,$54.81,London
True,2,37.849104477611945,21.980895522388053,2021-09-17,Tea,Zarah,Tyce,ztycei2@senate.gov,$59.83,New York
True,2,37.673571428571435,20.59642857142857,2021-07-14,Grapes,Gualterio,Barks,gbarksbd@angelfire.com,$58.27,Perth
True,1,37.65516129032258,21.814838709677414,2021-09-30,Milk,Kylynn,Goudge,kgoudge53@howstuffworks.com,$59.47,Edinburgh
True,3,37.341551724137936,21.798448275862064,2021-07-12,Island Oasis,Damiano,Mouan,dmouanq7@woothemes.com,$59.14,New York
True,4,37.33988636363637,22.000113636363636,2021-10-10,Pastry,Yvor,Smerdon,ysmerdonhr@imgur.com,$59.34,New York
True,5,37.108,18.872,2021-10-05,Alize Gold Passion,Gray,Battrum,gbattrumie@java.com,$55.98,London
True,1,37.075319148936174,22.67468085106383,2021-09-25,Longos,Corry,Dalli,cdalli5z@gizmodo.com,$59.75,Paris
True,2,36.93988636363636,22.000113636363636,2021-09-20,Pastry,Othello,Dudson,odudson86@addthis.com,$58.94,Paris
True,3,36.87,21.910000000000004,2021-09-09,Swiss Chard,Marleah,Phillippo,mphillippom2@creativecommons.org,$58.78,Paris
True,5,36.83133333333333,20.228666666666665,2021-09-22,Container,Crissie,Hariot,chariot47@squidoo.com,$57.06,New York
True,3,36.82045283018867,23.12954716981133,2021-10-03,Bread,Jacquenetta,Norres,jnorresr6@geocities.jp,$59.95,Perth
True,2,36.35214285714285,18.227857142857147,2021-10-23,Puree,Cornelius,Horney,chorneyds@seattletimes.com,$54.58,Edinburgh
True,4,36.34275862068965,23.517241379310345,2021-09-26,Tart Shells,Vite,Airdrie,vairdrie4y@netvibes.com,$59.86,Paris
True,5,36.32555555555555,21.84444444444445,2021-10-06,Appetizer,Millisent,Patria,mpatriahu@howstuffworks.com,$58.17,Paris
True,4,35.94988636363637,22.000113636363636,2021-09-03,Pastry,Willow,Chapelle,wchapelle9q@deviantart.com,$57.95,Perth
True,5,35.92847972972973,23.361520270270265,2021-08-23,Cheese,Veronika,Fitzsymonds,vfitzsymondsr0@hud.gov,$59.29,Perth
True,3,35.464739884393055,23.84526011560695,2021-09-18,Wine,Gunther,Stowell,gstowellj@histats.com,$59.31,Edinburgh
True,4,34.804739884393044,23.84526011560695,2021-09-09,Wine,Lyn,Rubinowitz,lrubinowitzjz@usa.gov,$58.65,Edinburgh
True,5,34.64880597014924,22.541194029850754,2021-08-03,Beer,Martyn,Dace,mdace2l@soup.io,$57.19,Edinburgh
False,1,25.918,12.701999999999998,2021-01-12,Allspice,Lockwood,Boydon,lboydonhc@wisc.edu,$38.62,New York
False,1,25.049999999999997,14.950000000000001,2021-02-27,Rice Paper,Pooh,Bindley,pbindley9p@ebay.com,$40.00,London
False,2,23.96,11.500000000000002,2021-02-25,Milk 2% 500 Ml,Aylmar,Caldron,acaldronqk@walmart.com,$35.46,London
False,3,23.200000000000003,15.9,2021-02-07,Neckerchief Blck,Ellissa,Lumbley,elumbley3x@elpais.com,$39.10,London
False,1,22.955,15.515,2021-01-13,Blue Curacao,Torr,Weeden,tweeden6p@ebay.co.uk,$38.47,Perth
False,4,22.863999999999997,14.746,2021-01-11,Towel Multifold,Sean,Ivashev,sivashevje@stumbleupon.com,$37.61,London
False,2,22.673333333333332,15.756666666666666,2021-05-11,Yoplait Drink,Brinna,O'Nion,bonion8b@hubpages.com,$38.43,Perth
False,2,22.47,13.719999999999999,2021-04-07,Bay Leaf Fresh,Dorie,Loadsman,dloadsmanem@irs.gov,$36.19,New York
False,3,22.21,15.5,2021-02-27,Garbage Bag,Pegeen,Swindells,pswindellsma@google.com,$37.71,New York
False,4,22.1575,17.4125,2021-04-04,Pancetta,Wyndham,Magrannell,wmagrannellm0@columbia.edu,$39.57,New York
False,1,21.5525,15.3475,2021-05-31,Tobasco Sauce,Tadeo,Hammor,thammor43@washingtonpost.com,$36.90,Paris
False,5,21.51375,17.956249999999997,2021-03-20,Clams,Bryn,Ickovici,bickovicik6@archive.org,$39.47,London
False,3,21.243333333333336,17.636666666666667,2021-04-12,Avocado,Bert,Crosskell,bcrosskelloj@apple.com,$38.88,Perth
False,4,21.132,18.748,2021-01-02,Seedlings,Roger,Meaker,rmeaker4g@google.co.jp,$39.88,Perth
False,1,20.912,16.178000000000004,2021-03-31,Pur Source,Shaun,Iston,siston4b@reuters.com,$37.09,Edinburgh
False,5,20.699375,18.770625,2021-05-11,Salmon,Cord,Lamswood,clamswoodo7@weibo.com,$39.47,New York
False,2,20.661666666666672,19.17833333333333,2021-02-08,Aromat Spice / Seasoning,Honey,McGready,hmcgready3d@aboutads.info,$39.84,Paris
False,5,20.5075,11.122499999999999,2021-05-16,Steam Pan,Victor,Welden,vwelden9u@theglobeandmail.com,$31.63,Perth
False,2,19.966666666666665,17.253333333333334,2021-04-07,Cookie Choc,Gardiner,von Nassau,gvonnassaume@boston.com,$37.22,Edinburgh
False,3,19.892,16.798,2021-04-09,Cattail Hearts,Forester,Dotterill,fdotterill3u@google.com.au,$36.69,Paris
False,4,19.193333333333335,19.726666666666667,2021-03-07,Towel,Marcile,Richley,mrichleyi5@bing.com,$38.92,Paris
False,3,18.45969387755102,21.32030612244898,2021-03-25,Oil,Algernon,Trood,atroodfp@cdbaby.com,$39.78,Edinburgh
False,5,18.210000000000004,17.49,2021-05-21,Pie Box,Lenee,Crompton,lcrompton5v@howstuffworks.com,$35.70,Paris
