Name,Payment Date,Monthly Cost,Cumulative Monthly Cost
Carl,2018-12-13,20,0
Carl,2019-01-13,20,20
Carl,2019-02-13,20,40
Carl,2019-03-13,20,60
Carl,2019-04-13,20,80
Carl,2019-05-13,20,100
Carl,2019-06-13,20,120
Carl,2019-07-13,20,140
Carl,2019-08-13,20,160
Carl,2019-09-13,20,180
Carl,2019-10-13,20,200
Carl,2019-11-13,20,220
Carl,2019-12-13,20,240
Carl,2020-01-13,20,260
Carl,2020-02-13,20,280
Carl,2020-03-13,20,300
Carl,2020-04-13,20,320
Carl,2020-05-13,20,340
Carl,2020-06-13,20,360
Carl,2020-07-13,20,380
Carl,2020-08-13,20,400
Carl,2020-09-13,20,420
Carl,2020-10-13,20,440
Carl,2020-11-13,20,460
Jonathan,2019-02-22,15,0
Jonathan,2019-03-22,15,15
Jonathan,2019-04-22,15,30
Jonathan,2019-05-22,15,45
Jonathan,2019-06-22,15,60
Jonathan,2019-07-22,15,75
Andy,2018-10-17,45,0
Andy,2018-11-17,45,45
Andy,2018-12-17,45,90
Andy,2019-01-17,45,135
Andy,2019-02-17,45,180
Andy,2019-03-17,45,225
Andy,2019-04-17,45,270
Andy,2019-05-17,45,315
Andy,2019-06-17,45,360
Andy,2019-07-17,45,405
Andy,2019-08-17,45,450
Andy,2019-09-17,45,495
Sophie,2018-11-19,30,0
Sophie,2018-12-19,30,30
Sophie,2019-01-19,30,60
Sophie,2019-02-19,30,90
Sophie,2019-03-19,30,120
Sophie,2019-04-19,30,150
Sophie,2019-05-19,30,180
Sophie,2019-06-19,30,210
Sophie,2019-07-19,30,240
Sophie,2019-08-19,30,270
Sophie,2019-09-19,30,300
Sophie,2019-10-19,30,330
