Name,Employment Range,Reporting Year,Tenure by End of Reporting Year,Salary Paid,Yearly Bonus,Total Paid
Carl,Apr 2020 to Mar 2022,2020,9,12000.0,464.75,12464.75
Carl,Apr 2020 to Mar 2022,2021,21,18000.0,1363.25,19363.25
Carl,Apr 2020 to Mar 2022,2022,24,4750.0,339.75,5089.75
Jenny,Jul 2020 to Nov 2021,2020,6,9000.0,545.65,9545.65
Jenny,Jul 2020 to Nov 2021,2021,17,16958.33,1159.5,18117.83
Tom,Nov 2020 to May 2022,2020,2,2416.67,277.55,2694.2200000000003
Tom,Nov 2020 to May 2022,2021,14,16000.0,1119.4,17119.4
Tom,Nov 2020 to May 2022,2022,19,7291.67,394.25,7685.92
Toni,Oct 2019 to Sep 2020,2019,3,5250.0,134.25,5384.25
Toni,Oct 2019 to Sep 2020,2020,12,15750.0,526.2,16276.2
