"Pupil's Name",Parental Contact Full Name,Parental Contact Email Address,Academic Year
"Nellies, Ronna","Nellies, Purcell",Purcell.Nellies@Demizz.com,2
"Andriulis, Rusty","Andriulis, Vassili",Vassili.Andriulis@Brainbox.com,4
"Oakeshott, Roberta","Oakeshott, Lind",Lind.Oakeshott@Centidel.com,4
"Rubinfajn, Lola","Rubinfajn, Elie",Elie.Rubinfajn@Edgeblab.com,4
"Benedtti, Kamila","Benedtti, Adela",Adela.Benedtti@Trudoo.com,4
"Colebourn, Avery","Colebourn, Dalenna",Dalenna.Colebourn@Linktype.com,4
"Klimko, Valentino","Klimko, Arlette",Arlette.Klimko@Thoughtblab.com,1
"Shearwood, Cal","Shearwood, Leontine",Leontine.Shearwood@Browseblab.com,1
"Truswell, King","Truswell, Evvy",Evvy.Truswell@Photospace.com,3
"Stichall, Towney","Stichall, Wendie",Wendie.Stichall@Kwimbee.com,1
"Mc Dermid, Aubrette","Mc Dermid, Emilee",Emilee.Mc Dermid@Oyonder.com,3
"Chatres, Adah","Chatres, Claudine",Claudine.Chatres@Jabbercube.com,3
"Titterton, Benedikt","Titterton, Zelma",Zelma.Titterton@Blogtag.com,2
"Harberer, Rosina","Harberer, Esther",Esther.Harberer@Trilith.com,3
"Filinkov, Panchito","Filinkov, Darbee",Darbee.Filinkov@Flashspan.com,3
"Strike, Samara","Strike, Winna",Winna.Strike@Innojam.com,3
"McCormack, Joane","McCormack, Marsiella",Marsiella.McCormack@Zooxo.com,4
"Sitlinton, Griffie","Sitlinton, Hunfredo",Hunfredo.Sitlinton@Meedoo.com,2
"Silversmidt, Gilberta","Silversmidt, Tawsha",Tawsha.Silversmidt@Babbleblab.com,1
"Matkovic, Marjie","Matkovic, Ev",Ev.Matkovic@Youbridge.com,4
"Cowterd, Uri","Cowterd, Chrystal",Chrystal.Cowterd@Jabbersphere.com,4
"Mattisson, Korella","Mattisson, Sherie",Sherie.Mattisson@Flipopia.com,1
"Schonfelder, Findlay","Schonfelder, Aldridge",Aldridge.Schonfelder@Dabtype.com,2
"Jantzen, Jaquelyn","Jantzen, Walther",Walther.Jantzen@Vitz.com,3
"Gradwell, Davina","Gradwell, Ketti",Ketti.Gradwell@Leexo.com,4
"Selby, Nicolea","Selby, Kippie",Kippie.Selby@Kwimbee.com,2
"Alelsandrovich, Moselle","Alelsandrovich, Quentin",Quentin.Alelsandrovich@Feedfire.com,3
"Nieass, Honey","Nieass, Sela",Sela.Nieass@Gigabox.com,1
"Godfroy, Akim","Godfroy, Diarmid",Diarmid.Godfroy@Buzzshare.com,3
"Floch, Karole","Floch, Allie",Allie.Floch@Zava.com,3
"Feldbaum, Nata","Feldbaum, Sloane",Sloane.Feldbaum@Skidoo.com,1
"Antonucci, Jaquelin","Antonucci, Mathe",Mathe.Antonucci@DabZ.com,4
"Hallums, Candra","Hallums, Raquela",Raquela.Hallums@Realbridge.com,2
"Masters, Den","Masters, Hermon",Hermon.Masters@Photospace.com,1
"Marris, Janifer","Marris, Lars",Lars.Marris@Thoughtworks.com,4
"Bremmer, Carolus","Bremmer, Gal",Gal.Bremmer@Kanoodle.com,4
"Addicote, Casey","Addicote, Vina",Vina.Addicote@Fiveclub.com,1
"De Ath, Brigida","De Ath, Alastair",Alastair.De Ath@Eamia.com,2
"Severs, Kimberli","Severs, Annabell",Annabell.Severs@Jaxspan.com,4
"Blumson, Maribeth","Blumson, Louis",Louis.Blumson@Topicblab.com,2
"Rosenauer, Arabele","Rosenauer, Vernen",Vernen.Rosenauer@Zava.com,3
"Cominetti, Madison","Cominetti, Paulie",Paulie.Cominetti@Tekfly.com,2
"Knoton, Verina","Knoton, Melantha",Melantha.Knoton@Jabbercube.com,2
"Clubbe, Wolfgang","Clubbe, Axel",Axel.Clubbe@Cogilith.com,2
"Mazdon, Davin","Mazdon, Deena",Deena.Mazdon@Ainyx.com,1
"McIlwaine, Constantina","McIlwaine, Onfre",Onfre.McIlwaine@Thoughtstorm.com,2
"Merredy, Sayre","Merredy, Antoni",Antoni.Merredy@Browsebug.com,1
"Jeannot, Rodrick","Jeannot, Shauna",Shauna.Jeannot@Bubbletube.com,2
"Guerre, Kain","Guerre, Alexandros",Alexandros.Guerre@Roomm.com,1
"Fieldstone, Blinni","Fieldstone, Odelle",Odelle.Fieldstone@Yoveo.com,2
"Goscomb, Annabell","Goscomb, Joann",Joann.Goscomb@Photofeed.com,2
"Benazet, Clayborn","Benazet, Robers",Robers.Benazet@Devpoint.com,1
"Henze, Mahala","Henze, Fredra",Fredra.Henze@Meevee.com,1
"Berzen, Lanette","Berzen, Chrisy",Chrisy.Berzen@Roombo.com,4
"Ruckhard, Keefer","Ruckhard, Ashlie",Ashlie.Ruckhard@Dynazzy.com,3
"Truelock, Merrili","Truelock, Felicdad",Felicdad.Truelock@Meembee.com,2
"Goutcher, Joete","Goutcher, Mandi",Mandi.Goutcher@Flipstorm.com,1
