Pupil Name,Date of Birth,"This Year's Birthday",Month,Cake Needed On,BDs per Weekday and Month
Joane McCormack,2012-04-17,2022-04-17,April,Friday,56
Korella Mattisson,2015-04-03,2022-04-03,April,Friday,56
Keefer Ruckhard,2013-04-02,2022-04-02,April,Friday,56
Ave Heyball,2012-05-01,2022-05-01,April,Friday,56
Sasha McMenamin,2012-04-23,2022-04-23,April,Friday,56
Jamaal Challicombe,2013-04-02,2022-04-02,April,Friday,56
Antin Luesley,2012-04-17,2022-04-17,April,Friday,56
Chucho Longmore,2013-04-15,2022-04-15,April,Friday,56
Ev Baldack,2015-04-23,2022-04-23,April,Friday,56
Jania Pesek,2012-04-08,2022-04-08,April,Friday,56
Merwin Doag,2015-04-29,2022-04-29,April,Friday,56
Valaree Heckner,2012-04-30,2022-04-30,April,Friday,56
Howard Kittow,2014-04-09,2022-04-09,April,Friday,56
Armstrong Batiste,2012-04-15,2022-04-15,April,Friday,56
Megan Blyth,2012-04-22,2022-04-22,April,Friday,56
Ancell Borrel,2012-04-24,2022-04-24,April,Friday,56
Dorothea Haselwood,2014-04-23,2022-04-23,April,Friday,56
Rici Dohms,2013-04-09,2022-04-09,April,Friday,56
Kit Fishbourn,2014-04-01,2022-04-01,April,Friday,56
Welby Dymott,2012-04-15,2022-04-15,April,Friday,56
Maddie Kennard,2015-04-15,2022-04-15,April,Friday,56
Adore Rowan,2012-04-30,2022-04-30,April,Friday,56
Trstram Macci,2013-04-16,2022-04-16,April,Friday,56
Malory Jonk,2012-04-10,2022-04-10,April,Friday,56
Dasha Traite,2014-04-08,2022-04-08,April,Friday,56
Hayward MacKellen,2014-04-29,2022-04-29,April,Friday,56
Penny Nertney,2012-04-24,2022-04-24,April,Friday,56
Bernhard Pakes,2013-04-09,2022-04-09,April,Friday,56
Leupold Paladino,2014-04-30,2022-04-30,April,Friday,56
Gizela Oke,2015-04-30,2022-04-30,April,Friday,56
Yevette Crimpe,2015-04-15,2022-04-15,April,Friday,56
Jesse Worsall,2015-04-24,2022-04-24,April,Friday,56
Yalonda Cranch,2015-04-08,2022-04-08,April,Friday,56
Billie Keyte,2013-04-10,2022-04-10,April,Friday,56
Jennee Portch,2012-04-01,2022-04-01,April,Friday,56
Janith Amburgy,2013-04-17,2022-04-17,April,Friday,56
Jordanna Siley,2013-04-22,2022-04-22,April,Friday,56
Elana Dupree,2012-04-09,2022-04-09,April,Friday,56
Jobi Dreossi,2015-04-15,2022-04-15,April,Friday,56
Tatum Daughton,2015-04-08,2022-04-08,April,Friday,56
Sandy Helks,2013-04-02,2022-04-02,April,Friday,56
Braden Berrane,2015-04-30,2022-04-30,April,Friday,56
Emylee Yurygyn,2014-04-24,2022-04-24,April,Friday,56
Rori Colvill,2014-04-08,2022-04-08,April,Friday,56
Jasmina Langforth,2012-04-03,2022-04-03,April,Friday,56
Marve Geaney,2014-04-15,2022-04-15,April,Friday,56
Katharina Joscelyne,2014-04-17,2022-04-17,April,Friday,56
Tammie Meynell,2014-04-10,2022-04-10,April,Friday,56
Barclay Fieldgate,2012-04-30,2022-04-30,April,Friday,56
Remy La Torre,2013-04-23,2022-04-23,April,Friday,56
Maybelle Shackesby,2015-04-30,2022-04-30,April,Friday,56
Tonye Faudrie,2012-04-01,2022-04-01,April,Friday,56
Ninnetta Galia,2013-04-01,2022-04-01,April,Friday,56
Ida Side,2015-04-22,2022-04-22,April,Friday,56
Gratia Shory,2015-04-02,2022-04-02,April,Friday,56
