Pupil Name,Date of Birth,This Year's Birthday,Month,Cake Needed On,BDs per Weekday and Month
Ronna Nellies,2013-12-21,2021-12-21,December,Tuesday,9
Rusty Andriulis,2012-07-21,2022-07-21,July,Thursday,12
Roberta Oakeshott,2011-12-04,2021-12-04,December,Friday,51
Lola Rubinfajn,2012-06-29,2022-06-29,June,Wednesday,15
Kamila Benedtti,2012-07-10,2022-07-10,July,Friday,49
Avery Colebourn,2012-08-30,2022-08-30,August,Tuesday,15
Valentino Klimko,2014-12-23,2021-12-23,December,Thursday,14
Cal Shearwood,2015-01-18,2022-01-18,January,Tuesday,12
King Truswell,2012-09-14,2021-09-14,September,Tuesday,7
Towney Stichall,2015-06-04,2022-06-04,June,Friday,30
Aubrette Mc Dermid,2012-10-09,2021-10-09,October,Friday,35
Adah Chatres,2012-12-27,2021-12-27,December,Monday,8
Benedikt Titterton,2014-01-10,2022-01-10,January,Monday,14
Rosina Harberer,2012-12-23,2021-12-23,December,Thursday,14
Panchito Filinkov,2013-06-09,2022-06-09,June,Thursday,12
Samara Strike,2013-06-26,2022-06-26,June,Friday,30
Joane McCormack,2012-04-17,2022-04-17,April,Friday,55
Griffie Sitlinton,2014-03-24,2022-03-24,March,Thursday,19
Gilberta Silversmidt,2014-09-08,2021-09-08,September,Wednesday,14
Marjie Matkovic,2011-12-04,2021-12-04,December,Friday,51
Uri Cowterd,2011-12-12,2021-12-12,December,Friday,51
Korella Mattisson,2015-04-03,2022-04-03,April,Friday,55
Findlay Schonfelder,2014-01-19,2022-01-19,January,Wednesday,14
Jaquelyn Jantzen,2012-10-20,2021-10-20,October,Wednesday,14
Davina Gradwell,2011-11-07,2021-11-07,November,Friday,38
Nicolea Selby,2014-04-04,2022-04-04,April,Monday,10
Moselle Alelsandrovich,2012-12-22,2021-12-22,December,Wednesday,20
Honey Nieass,2014-11-23,2021-11-23,November,Tuesday,17
Akim Godfroy,2012-09-30,2021-09-30,September,Thursday,14
Karole Floch,2012-11-06,2021-11-06,November,Friday,38
Nata Feldbaum,2015-05-07,2022-05-07,May,Friday,31
Jaquelin Antonucci,2012-05-03,2022-05-03,May,Tuesday,15
Candra Hallums,2014-08-11,2022-08-11,August,Thursday,10
Den Masters,2014-10-03,2021-10-03,October,Friday,35
Janifer Marris,2012-05-21,2022-05-21,May,Friday,31
Carolus Bremmer,2011-09-15,2021-09-15,September,Wednesday,14
Casey Addicote,2014-09-25,2021-09-25,September,Friday,29
Brigida De Ath,2014-08-07,2022-08-07,August,Friday,24
Kimberli Severs,2011-09-19,2021-09-19,September,Friday,29
Maribeth Blumson,2014-08-27,2022-08-27,August,Friday,24
Arabele Rosenauer,2012-10-26,2021-10-26,October,Tuesday,13
Madison Cominetti,2014-07-17,2022-07-17,July,Friday,49
Verina Knoton,2014-04-04,2022-04-04,April,Monday,10
Wolfgang Clubbe,2014-04-20,2022-04-20,April,Wednesday,12
Davin Mazdon,2015-07-10,2022-07-10,July,Friday,49
Constantina McIlwaine,2014-08-26,2022-08-26,August,Friday,24
Sayre Merredy,2014-10-24,2021-10-24,October,Friday,35
Rodrick Jeannot,2013-10-19,2021-10-19,October,Tuesday,13
Kain Guerre,2015-08-10,2022-08-10,August,Wednesday,10
Blinni Fieldstone,2013-11-17,2021-11-17,November,Wednesday,13
Annabell Goscomb,2013-11-10,2021-11-10,November,Wednesday,13
Clayborn Benazet,2014-11-21,2021-11-21,November,Friday,38
Mahala Henze,2014-09-15,2021-09-15,September,Wednesday,14
Lanette Berzen,2011-11-18,2021-11-18,November,Thursday,12
Keefer Ruckhard,2013-04-02,2022-04-02,April,Friday,55
Merrili Truelock,2013-11-27,2021-11-27,November,Friday,38
Joete Goutcher,2015-01-06,2022-01-06,January,Thursday,6
