Pupil Name,Date of Birth,This Year's Birthday,Cake Needed On,Month,BDs per Weekday and Month
Ronna Nellies,21/12/2013,21/12/2022,Wednesday,December,9
Rusty Andriulis,21/07/2012,21/07/2022,Thursday,July,12
Roberta Oakeshott,04/12/2011,04/12/2022,Friday,December,48
Lola Rubinfajn,29/06/2012,29/06/2022,Wednesday,June,15
Kamila Benedtti,10/07/2012,10/07/2022,Friday,July,49
Avery Colebourn,30/08/2012,30/08/2022,Tuesday,August,15
Valentino Klimko,23/12/2014,23/12/2022,Friday,December,48
Cal Shearwood,18/01/2015,18/01/2022,Tuesday,January,12
King Truswell,14/09/2012,14/09/2022,Wednesday,September,7
Towney Stichall,04/06/2015,04/06/2022,Friday,June,30
Aubrette Mc Dermid,09/10/2012,09/10/2022,Friday,October,27
Adah Chatres,27/12/2012,27/12/2022,Tuesday,December,8
Benedikt Titterton,10/01/2014,10/01/2022,Monday,January,14
Rosina Harberer,23/12/2012,23/12/2022,Friday,December,48
Panchito Filinkov,09/06/2013,09/06/2022,Thursday,June,12
Samara Strike,26/06/2013,26/06/2022,Friday,June,30
Joane McCormack,17/04/2012,17/04/2022,Friday,April,56
Griffie Sitlinton,24/03/2014,24/03/2022,Thursday,March,19
Gilberta Silversmidt,08/09/2014,08/09/2022,Thursday,September,14
Marjie Matkovic,04/12/2011,04/12/2022,Friday,December,48
Uri Cowterd,12/12/2011,12/12/2022,Monday,December,20
Korella Mattisson,03/04/2015,03/04/2022,Friday,April,56
Findlay Schonfelder,19/01/2014,19/01/2022,Wednesday,January,14
Jaquelyn Jantzen,20/10/2012,20/10/2022,Thursday,October,14
Davina Gradwell,07/11/2011,07/11/2022,Monday,November,11
Nicolea Selby,04/04/2014,04/04/2022,Monday,April,10
Moselle Alelsandrovich,22/12/2012,22/12/2022,Thursday,December,20
Honey Nieass,23/11/2014,23/11/2022,Wednesday,November,17
Akim Godfroy,30/09/2012,30/09/2022,Friday,September,41
Karole Floch,06/11/2012,06/11/2022,Friday,November,39
Nata Feldbaum,07/05/2015,07/05/2022,Friday,May,30
Jaquelin Antonucci,03/05/2012,03/05/2022,Tuesday,May,15
Candra Hallums,11/08/2014,11/08/2022,Thursday,August,10
Den Masters,03/10/2014,03/10/2022,Monday,October,14
Janifer Marris,21/05/2012,21/05/2022,Friday,May,30
Carolus Bremmer,15/09/2011,15/09/2022,Thursday,September,14
Casey Addicote,25/09/2014,25/09/2022,Friday,September,41
Brigida De Ath,07/08/2014,07/08/2022,Friday,August,24
Kimberli Severs,19/09/2011,19/09/2022,Monday,September,7
Maribeth Blumson,27/08/2014,27/08/2022,Friday,August,24
Arabele Rosenauer,26/10/2012,26/10/2022,Wednesday,October,13
Madison Cominetti,17/07/2014,17/07/2022,Friday,July,49
Verina Knoton,04/04/2014,04/04/2022,Monday,April,10
Wolfgang Clubbe,20/04/2014,20/04/2022,Wednesday,April,12
Davin Mazdon,10/07/2015,10/07/2022,Friday,July,49
Constantina McIlwaine,26/08/2014,26/08/2022,Friday,August,24
Sayre Merredy,24/10/2014,24/10/2022,Monday,October,14
Rodrick Jeannot,19/10/2013,19/10/2022,Wednesday,October,13
Kain Guerre,10/08/2015,10/08/2022,Wednesday,August,10
Blinni Fieldstone,17/11/2013,17/11/2022,Thursday,November,13
Annabell Goscomb,10/11/2013,10/11/2022,Thursday,November,13
Clayborn Benazet,21/11/2014,21/11/2022,Monday,November,11
Mahala Henze,15/09/2014,15/09/2022,Thursday,September,14
Lanette Berzen,18/11/2011,18/11/2022,Friday,November,39
Keefer Ruckhard,02/04/2013,02/04/2022,Friday,April,56
Merrili Truelock,27/11/2013,27/11/2022,Friday,November,39
Joete Goutcher,06/01/2015,06/01/2022,Thursday,January,6
Miguelita Palfreman,17/02/2012,17/02/2022,Thursday,February,12
Ossie Mattes,15/05/2012,15/05/2022,Friday,May,30
Bear Vernay,21/05/2014,21/05/2022,Friday,May,30
Teodor Wragge,14/08/2015,14/08/2022,Friday,August,24
Daisie Whitelaw,17/01/2014,17/01/2022,Monday,January,14
Emlynne Littley,05/02/2015,05/02/2022,Friday,February,31
Britni Walsh,12/07/2012,12/07/2022,Tuesday,July,12
Marys Inseal,16/11/2012,16/11/2022,Wednesday,November,17
Paxton Massow,11/02/2014,11/02/2022,Friday,February,31
Kerby Scain,30/10/2012,30/10/2022,Friday,October,27
Johnathan Lamplough,25/09/2013,25/09/2022,Friday,September,41
Jeni Donald,07/06/2013,07/06/2022,Tuesday,June,11
Sylvia Abrahamsohn,15/11/2012,15/11/2022,Tuesday,November,12
Cinnamon Stoyle,16/01/2012,16/01/2022,Friday,January,30
Issi Amey,20/10/2012,20/10/2022,Thursday,October,14
Brion Letson,07/12/2012,07/12/2022,Wednesday,December,9
Nappie Sire,10/11/2011,10/11/2022,Thursday,November,13
Pattie Chapelle,19/12/2011,19/12/2022,Monday,December,20
Brynna Armit,12/08/2012,12/08/2022,Friday,August,24
Gauthier Bruinsma,23/09/2013,23/09/2022,Friday,September,41
Pren Gudgeon,24/09/2013,24/09/2022,Friday,September,41
Wyn Husthwaite,11/05/2014,11/05/2022,Wednesday,May,8
Allianora Padrick,07/12/2011,07/12/2022,Wednesday,December,9
Malena Bennough,20/04/2013,20/04/2022,Wednesday,April,12
Jarret Winscom,05/03/2013,05/03/2022,Friday,March,31
Ree Salmen,14/11/2013,14/11/2022,Monday,November,11
Hope Dommerque,13/09/2014,13/09/2022,Tuesday,September,12
Guillermo Trowle,24/06/2013,24/06/2022,Friday,June,30
Tibold Cottingham,03/09/2013,03/09/2022,Friday,September,41
Cecilia Poxton,20/12/2013,20/12/2022,Tuesday,December,8
Arri Sleney,23/11/2013,23/11/2022,Wednesday,November,17
Regina Isenor,16/10/2011,16/10/2022,Friday,October,27
Annalise Roll,04/07/2012,04/07/2022,Monday,July,11
Othello Blyth,19/07/2014,19/07/2022,Tuesday,July,12
Ave Heyball,01/05/2012,01/05/2022,Friday,April,56
Friederike Civitillo,24/06/2015,24/06/2022,Friday,June,30
Hayley Rizzini,26/04/2014,26/04/2022,Tuesday,April,4
Blakelee Monery,04/12/2013,04/12/2022,Friday,December,48
Jacenta Cowton,18/06/2013,18/06/2022,Friday,June,30
Karlyn Westmoreland,10/06/2015,10/06/2022,Friday,June,30
Yancey Bachellier,01/02/2015,01/02/2022,Tuesday,February,13
Nerte Lissandrini,09/12/2011,09/12/2022,Friday,December,48
Dorolice Crosthwaite,06/01/2015,06/01/2022,Thursday,January,6
Brantley Thorley,02/03/2012,02/03/2022,Wednesday,March,6
Robin Cypler,31/01/2015,31/01/2022,Monday,January,14
Phillie Allsepp,29/06/2012,29/06/2022,Wednesday,June,15
Toddie Artz,09/07/2013,09/07/2022,Friday,July,49
Marje Antoshin,26/12/2014,26/12/2022,Monday,December,20
Rochella Blazdell,31/03/2015,31/03/2022,Thursday,March,19
Aryn Thursfield,25/02/2015,25/02/2022,Friday,February,31
Isaiah Antowski,12/01/2014,12/01/2022,Wednesday,January,14
Helli Owbridge,05/08/2014,05/08/2022,Friday,August,24
Hadrian Scourgie,20/03/2012,20/03/2022,Friday,March,31
Toddie Nanetti,04/10/2013,04/10/2022,Tuesday,October,9
Inger Sugar,25/11/2011,25/11/2022,Friday,November,39
Lezlie Meyer,19/03/2015,19/03/2022,Friday,March,31
Rowland Krinks,22/12/2014,22/12/2022,Thursday,December,20
Fair Baumber,13/09/2011,13/09/2022,Tuesday,September,12
Ekaterina Graver,17/10/2013,17/10/2022,Monday,October,14
Farris Spear,03/03/2014,03/03/2022,Thursday,March,19
Shanie Croisier,09/02/2014,09/02/2022,Wednesday,February,8
Fredric Skerme,12/03/2012,12/03/2022,Friday,March,31
Christoph Udall,15/10/2011,15/10/2022,Friday,October,27
Jared Koba,15/01/2012,15/01/2022,Friday,January,30
Lucina Gouley,16/02/2014,16/02/2022,Wednesday,February,8
Milka Fosbraey,30/10/2011,30/10/2022,Friday,October,27
Iseabal Aldwinckle,08/03/2013,08/03/2022,Tuesday,March,13
Colet Featherstonehaugh,07/07/2012,07/07/2022,Thursday,July,12
Jewelle Skaif,19/01/2015,19/01/2022,Wednesday,January,14
Brose Plumridge,30/12/2012,30/12/2022,Friday,December,48
Dotty Oldknow,22/12/2013,22/12/2022,Thursday,December,20
Stacy Conneely,13/10/2013,13/10/2022,Thursday,October,14
Iona Ballister,20/06/2014,20/06/2022,Monday,June,9
Windy Curgenuer,28/10/2013,28/10/2022,Friday,October,27
Kienan Echalie,19/12/2014,19/12/2022,Monday,December,20
Nollie Curley,29/11/2013,29/11/2022,Tuesday,November,12
Joelle McGrory,23/06/2012,23/06/2022,Thursday,June,12
Pooh Schmidt,05/06/2012,05/06/2022,Friday,June,30
Coral Phelipeaux,04/01/2012,04/01/2022,Tuesday,January,12
Gifford McKeachie,21/11/2014,21/11/2022,Monday,November,11
Orelee Videan,05/10/2013,05/10/2022,Wednesday,October,13
Toiboid Scamerden,05/11/2013,05/11/2022,Friday,November,39
Shirline Longstaff,13/07/2013,13/07/2022,Wednesday,July,19
Hurley D'Alessandro,16/01/2014,16/01/2022,Friday,January,30
Orelia Di Domenico,07/11/2014,07/11/2022,Monday,November,11
Glynda O'Corrin,14/02/2013,14/02/2022,Monday,February,12
Bailie Caraher,05/10/2013,05/10/2022,Wednesday,October,13
Elizabeth Pattenden,07/06/2013,07/06/2022,Tuesday,June,11
Florian Lardnar,04/08/2014,04/08/2022,Thursday,August,10
Chantal Caherny,20/11/2012,20/11/2022,Friday,November,39
Sasha McMenamin,23/04/2012,23/04/2022,Friday,April,56
Ivar Verbeek,26/12/2011,26/12/2022,Monday,December,20
Jamaal Challicombe,02/04/2013,02/04/2022,Friday,April,56
Cello Milnes,08/03/2013,08/03/2022,Tuesday,March,13
Leese Leinster,05/11/2012,05/11/2022,Friday,November,39
Aleece Bernardet,09/01/2015,09/01/2022,Friday,January,30
Archibaldo Penwell,15/07/2012,15/07/2022,Friday,July,49
Berkly Dodding,14/10/2014,14/10/2022,Friday,October,27
Ynez Stive,18/05/2015,18/05/2022,Wednesday,May,8
Francene Ebbin,16/09/2012,16/09/2022,Friday,September,41
Ilise Bowring,12/11/2011,12/11/2022,Friday,November,39
Clo Knoton,25/04/2014,25/04/2022,Monday,April,10
Guthrie Valti,06/05/2014,06/05/2022,Friday,May,30
Stacey Whartonby,05/02/2013,05/02/2022,Friday,February,31
Ernesta Siggers,04/07/2015,04/07/2022,Monday,July,11
Denice Espinet,05/05/2013,05/05/2022,Thursday,May,12
Antin Luesley,17/04/2012,17/04/2022,Friday,April,56
Alon Brash,23/09/2011,23/09/2022,Friday,September,41
Harlen Penke,04/08/2014,04/08/2022,Thursday,August,10
Pyotr Anten,06/01/2012,06/01/2022,Thursday,January,6
Sean Skelton,03/10/2011,03/10/2022,Monday,October,14
Cary Johanssen,19/07/2013,19/07/2022,Tuesday,July,12
Yuri Keywood,10/11/2013,10/11/2022,Thursday,November,13
Ronnie Narducci,01/02/2015,01/02/2022,Tuesday,February,13
Chucho Longmore,15/04/2013,15/04/2022,Friday,April,56
Caleb Kupka,15/03/2014,15/03/2022,Tuesday,March,13
Robbin Harmant,10/01/2015,10/01/2022,Monday,January,14
Gaylor Shotboult,03/02/2014,03/02/2022,Thursday,February,12
Lamont Tolefree,17/08/2012,17/08/2022,Wednesday,August,10
Wood Upjohn,07/06/2012,07/06/2022,Tuesday,June,11
Brady Seeds,15/08/2012,15/08/2022,Monday,August,12
Selma Litherborough,20/03/2014,20/03/2022,Friday,March,31
Carly Peasee,05/07/2014,05/07/2022,Tuesday,July,12
Rose Artinstall,29/05/2014,29/05/2022,Friday,May,30
Hi Oleksiak,06/06/2013,06/06/2022,Monday,June,9
Berti Smardon,26/03/2014,26/03/2022,Friday,March,31
Lorraine Halbard,20/07/2013,20/07/2022,Wednesday,July,19
Aldis Sherewood,21/08/2013,21/08/2022,Friday,August,24
Rabbi McGourty,16/06/2013,16/06/2022,Thursday,June,12
Julietta Layson,20/05/2014,20/05/2022,Friday,May,30
Graehme Ditch,07/04/2015,07/04/2022,Thursday,April,11
